day,busid,Travelto48,Dwell48,Travelto60,Dwell60,Travelto50,Dwell50,Travelto51,Dwell51,Travelto52,Dwell52,Travelto45,Dwell45,Travelto46,Dwell46,Travelto6,Dwell6,Travelto8,Dwell8,Travelto10,Dwell10,Travelto11,Dwell11,Travelto12,Dwell12,Travelto13,Dwell13,Travelto14,Dwell14,Travelto1,Dwell1,Travelto55,Dwell55,Travelto57,Dwell57,Travelto58,Dwell58,Travelto59,Dwell59,Travelto107,Dwell107,Travelto61,Dwell61,Travelto62,Dwell62
2015-02-02,640,433,13,25,18,36,31,66,46,58,16,42,36,70,32,122,38,66,42,92,46,68,42,102,60,94,50,68,32,78,30,154,30,46,34,46,28,96,30,50,24,32,26,42,16
2015-02-02,640,936,8,46,30,46,16,84,27,38,30,66,34,72,20,56,30,58,34,92,34,58,46,94,44,72,64,76,36,130,48,159,31,49,46,60,38,80,40,62,28,38,26,44,38
2015-02-02,640,926,26,36,34,54,26,64,28,40,56,82,34,98,28,82,24,50,66,156,74,95,39,83,38,68,34,44,24,62,34,126,30,46,38,50,48,104,38,60,18,28,24,46,46
2015-02-02,640,928,10,24,20,40,20,118,46,92,38,74,36,88,42,88,30,62,42,110,36,60,54,112,46,84,62,74,40,96,46,153,37,55,42,56,38,100,38,60,28,38,12,32,46
2015-02-02,640,1056,27,36,34,56,28,84,44,59,17,53,40,97,49,109,30,84,44,122,56,78,36,88,52,84,60,74,26,94,40,118,32,50,42,56,34,98,38,64,34,42,28,46,38
2015-02-02,640,542,10,22,20,42,24,62,38,52,20,48,40,78,30,62,30,52,32,72,32,50,30,77,31,62,33,45,14,46,40,124,26,44,42,54,44,86,32,52,28,36,26,46,34
2015-02-02,640,898,12,28,28,56,36,132,46,64,42,74,42,88,32,112,28,56,44,98,40,64,34,90,50,84,40,52,12,54,46,140,33,55,42,56,38,140,40,68,42,54,32,58,40
2015-02-02,640,496,11,43,22,48,35,155,34,50,19,55,39,87,30,96,27,56,33,93,21,45,31,88,42,72,48,62,15,49,53,144,33,54,45,57,33,124,42,65,40,52,27,51,42
2015-02-02,640,510,12,31,23,49,18,62,46,62,36,69,32,77,31,72,40,68,36,83,14,38,32,95,41,71,43,57,6,54,41,160,36,57,23,37,35,118,40,64,38,48,32,58,50
2015-02-02,640,728,12,38,20,44,15,110,30,44,18,50,30,115,29,59,36,96,28,64,26,46,42,88,38,68,48,62,8,52,36,128,24,43,20,35,14,98,34,58,32,42,30,55,49
2015-02-02,640,677,10,24,20,40,36,88,14,28,18,50,58,110,30,62,36,62,22,76,28,52,16,60,16,48,38,52,6,62,38,120,26,44,24,40,32,100,38,64,24,34,28,52,44
2015-02-02,640,892,26,40,22,44,19,106,30,44,18,50,12,72,8,46,8,34,32,70,40,62,20,66,36,70,22,36,6,40,34,118,26,46,52,66,14,86,34,56,30,40,10,32,34
2015-02-02,640,828,12,24,20,42,16,106,14,30,19,48,10,60,28,70,26,54,8,42,20,40,16,78,28,58,20,32,6,36,34,,,,,,,,,,,,,
2015-02-03,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,22,41,21,35,28,94,32,56,32,42,25,48,24
2015-02-03,640,706,10,27,19,41,16,88,14,28,18,48,8,48,8,38,6,30,14,50,16,46,18,62,16,44,24,38,6,36,40,127,5,41,22,36,30,116,18,42,24,34,12,34,64
2015-02-03,640,25878,32,48,46,70,46,130,38,52,50,86,44,94,28,96,32,104,58,122,58,84,34,86,32,62,32,48,11,44,28,119,9,27,22,36,12,52,32,60,88,106,12,94,20
