day,busid,Travelto118,Dwell118,Travelto64,Dwell64,Travelto78,Dwell78,Travelto76,Dwell76
2015-01-22,642,334,68,88,54,84,32,370,48
2015-01-22,642,,,,,,,,124
2015-01-22,642,424,48,76,38,70,34,368,2
2015-01-22,642,,,,,,,,140
2015-01-22,642,632,92,130,143,181,42,558,230
2015-01-22,642,704,44,68,106,140,36,444,54
2015-01-22,642,,,,,,,
2015-01-27,643,,58,84,78,118,40,450,2
2015-01-27,643,,,,,,,,172
2015-01-27,643,490,46,72,84,122,30,366,64
2015-01-27,643,,,,,,,,120
2015-01-27,643,398,46,80,46,82,36,308,2
2015-01-27,643,,,,,,,,126
2015-01-27,643,474,32,60,50,84,32,386,38
2015-01-27,643,,,,,,,,175
2015-01-27,643,531,54,78,126,166,40,398,2
2015-01-27,643,892,44,68,32,60,32,340,2
2015-01-27,643,,,,,,,,174
2015-01-27,643,492,36,60,38,66,30,360,38
2015-01-27,643,,,,,,,,118
2015-01-27,643,414,34,56,64,96,30,350,54
2015-01-27,643,,,,,,,,202
2015-01-27,643,837,93,138,67,105,40,377,4
2015-01-27,643,694,36,64,50,80,30,337,1
2015-01-27,643,,,,,,,,152
2015-01-27,643,402,48,68,36,66,35,358,2
2015-01-27,643,,,,,,,,166
2015-01-27,643,462,58,80,98,136,48,467,41
2015-01-27,643,,,,,,,,115
2015-01-27,643,446,72,94,9,39,38,378,2
2015-01-27,643,,,,,,,,198
2015-01-27,643,466,38,58,38,68,16,330,2
2015-01-27,643,,,,,,,,92
2015-01-27,643,408,44,84,54,86,34,358,18
2015-01-27,643,,,,,,,,88
2015-01-27,643,463,59,88,106,136,38,426,598
2015-01-27,643,900,32,54,44,82,42,390,24
2015-01-27,643,,,,,,,,61
2015-01-27,643,347,24,45,33,59,13,299,3
2015-01-27,643,,,,,,,,110
2015-01-27,643,461,96,132,140,172,28,533,2
2015-01-27,643,726,46,78,61,93,43,423,3
2015-01-27,643,,,,,,,
2015-02-24,643,,,,,,,,262
2015-02-24,643,606,80,168,189,222,44,529,418
2015-02-24,643,740,72,91,43,71,29,334,2
2015-02-24,643,,,,,,,,128
2015-02-24,643,368,22,40,36,64,24,456,14
2015-02-24,643,,,,,,,,168
2015-02-24,643,516,24,50,68,96,26,486,15
2015-02-24,643,,,,,,,,99
2015-02-24,643,763,66,106,86,116,30,386,4
2015-02-24,643,646,24,48,48,74,28,288,2
2015-02-24,643,730,42,62,42,72,34,320,2
2015-02-24,643,,,,,,,,256
2015-02-24,643,606,62,108,58,92,30,298,4
