Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Friday,2/20/2015,10665,20150220,19,-16,2,M,-5,3,63,0,SN UP,M,M,M,  T,29.37,30.31,8.8,15,8.9,24,150,18,150
Saturday,2/21/2015,2540,20150221,33,16,25,M,22,24,40,0,SN FZFG BR,M,M,M,0.55,29.04,29.98,0.9,6,3.8,16,350,13,350
Sunday,2/22/2015,2184,20150222,31,16,24,M,17,21,41,0,BR HZ,M,M,M,0,29.39,30.37,4.9,35,5.8,20,10,16,350
Monday,2/23/2015,20528,20150223,20,-8,6,M,0,7,59,0,BR,M,M,M,0,29.64,30.6,4.6,36,6.4,18,350,15,360
Tuesday,2/24/2015,19770,20150224,26,-16,5,M,0,8,60,0,HZ,M,M,M,0,29.18,30.09,8.1,24,8.5,30,230,23,230
Wednesday,2/25/2015,19283,20150225,37,6,22,M,14,22,43,0,BR,M,M,M,0,28.99,29.93,0.6,9,4.7,14,240,12,60
Thursday,2/26/2015,19248,20150226,27,11,19,M,12,18,46,0,SN BR HZ,M,M,M,  T,29.14,30.13,8.6,1,9.2,22,360,16,360
Friday,2/27/2015,11812,20150227,22,-9,7,M,-1,7,58,0, ,M,M,M,  T,29.63,30.6,2.1,36,2.7,13,10,9,10
Saturday,2/28/2015,4243,20150228,29,1,15,M,7,16,50,0,SN FZFG BR,M,M,M,0.1,29.68,30.63,6.3,11,6.5,17,130,13,130
Sunday,3/1/2015,2505,20150301,33,24,29,M,27,28,36,0,SN FZFG BR UP,M,M,M,0.41,29.42,30.36,2,31,4.4,17,320,13,300
Monday,3/2/2015,19343,20150302,38,13,26,M,15,23,39,0,SN BR,M,M,M,0,29.52,30.46,1.5,9,4.1,15,310,12,300
Tuesday,3/3/2015,20005,20150303,45,27,36,M,32,35,29,0,RA FG BR UP,M,M,M,0.5,29.07,29.96,5.4,20,9.9,29,220,20,240
Wednesday,3/4/2015,20132,20150304,39,19,29,M,24,27,36,0,RA SN BR HZ,M,M,M,0.37,29.11,30.07,5.4,34,6.7,23,360,17,350
Thursday,3/5/2015,19378,20150305,26,7,17,M,6,15,48,0, ,M,M,M,  T,29.46,30.44,6.8,36,7.6,21,360,17,360
Friday,3/6/2015,11698,20150306,30,-1,15,M,4,13,50,0,BR,M,M,M,0,29.55,30.49,7,20,7.4,21,200,17,200
