Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Thursday,10/16/2014,17416,20141016,61,49,55,M,52,53,10,0,RA BR,M,M,M,0.03,28.92,29.82,4.2,25,6.5,18,180,12,180
Friday,10/17/2014,12036,20141017,71,50,61,M,48,53,4,0, ,M,M,M,0,28.85,29.76,7.6,26,9.4,30,290,21,270
Saturday,10/18/2014,5203,20141018,56,41,49,M,44,47,16,0,RA BR,M,M,M,0.01,29.1,30.04,4.3,32,6,19,10,13,360
Sunday,10/19/2014,2189,20141019,57,42,50,M,40,44,15,0, ,M,M,M,0,29.27,30.17,0.7,20,3.1,13,250,12,180
Monday,10/20/2014,17040,20141020,70,46,58,M,46,51,7,0, ,M,M,M,0,29.04,29.94,5.5,24,7.1,26,210,20,210
Tuesday,10/21/2014,17912,20141021,60,43,52,M,43,47,13,0, ,M,M,M,0,29.15,30.08,4.8,36,4.9,20,360,15,20
Wednesday,10/22/2014,18294,20141022,60,34,47,M,38,42,18,0,BR,M,M,M,0,29.34,30.27,3.7,5,4,16,40,13,60
Thursday,10/23/2014,17269,20141023,61,32,47,M,39,43,18,0,FG+ BR,M,M,M,0,29.29,30.2,0.7,16,1.1,11,160,8,220
Friday,10/24/2014,12611,20141024,68,35,52,M,45,47,13,0,RA BR,M,M,M,  T,29.17,30.08,1.4,22,2,13,270,10,260
Saturday,10/25/2014,3869,20141025,77,48,63,M,51,56,2,0,BR HZ,M,M,M,0,29.08,29.97,4.9,25,6.1,17,290,13,280
Sunday,10/26/2014,1657,20141026,72,39,56,M,37,47,9,0, ,M,M,M,0,29.08,29.98,0.6,18,1.9,12,200,8,190
Monday,10/27/2014,18743,20141027,81,50,66,M,50,58,0,1,RA,M,M,M,  T,28.95,29.84,11,20,12.2,39,210,29,210
