Date,Start Time Schedule,Start Time Actual,Variance,Inbound,Outbound,TotalRidership,TotalPrecipitation
2/17/2015,16:21:00,16:10:07,-10.8833333333,NA, NA, NA,0
3/3/2015,17:04:00,16:53:07,-10.8833333333,NA, NA, NA,0.5
3/5/2015,10:36:00,10:25:07,-10.8833333333,NA, NA, NA,0
3/11/2015,18:10:00,17:59:07,-10.8833333333,NA, NA, NA,0
4/8/2015,7:42:00,7:31:07,-10.8833333333,NA, NA, NA,0.05
4/6/2015,8:32:00,8:21:08,-10.8666666667,NA, NA, NA,0
4/22/2015,16:46:00,16:35:08,-10.8666666667,NA, NA, NA,0
2/9/2015,8:32:00,8:21:09,-10.85,NA, NA, NA,0
2/10/2015,17:15:00,17:04:09,-10.85,NA, NA, NA,0
2/11/2015,13:59:00,13:48:09,-10.85,NA, NA, NA,0
2/12/2015,16:48:00,16:37:09,-10.85,NA, NA, NA,0
2/18/2015,16:46:00,16:35:09,-10.85,NA, NA, NA,0.11
2/25/2015,7:42:00,7:31:09,-10.85,NA, NA, NA,0
3/3/2015,7:42:00,7:31:09,-10.85,NA, NA, NA,0.5
3/3/2015,8:07:00,7:56:09,-10.85,NA, NA, NA,0.5
3/23/2015,10:38:00,10:27:09,-10.85,NA, NA, NA,0
4/30/2015,13:59:00,13:48:09,-10.85,NA, NA, NA,0
1/28/2015,13:50:00,13:39:10,-10.8333333333,NA, NA, NA,0
2/11/2015,17:13:00,17:02:10,-10.8333333333,NA, NA, NA,0
2/25/2015,16:37:00,16:26:10,-10.8333333333,NA, NA, NA,0
2/25/2015,18:10:00,17:59:10,-10.8333333333,NA, NA, NA,0
3/9/2015,18:47:00,18:36:10,-10.8333333333,NA, NA, NA,0
3/10/2015,16:30:00,16:19:10,-10.8333333333,NA, NA, NA,0.51
3/10/2015,16:57:00,16:46:10,-10.8333333333,NA, NA, NA,0.51
3/23/2015,8:07:00,7:56:10,-10.8333333333,NA, NA, NA,0
3/30/2015,10:38:00,10:27:10,-10.8333333333,NA, NA, NA,0
4/23/2015,13:59:00,13:48:10,-10.8333333333,NA, NA, NA,0
1/28/2015,18:10:00,17:59:11,-10.8166666667,NA, NA, NA,0
2/26/2015,18:47:00,18:36:11,-10.8166666667,NA, NA, NA,0
4/21/2015,10:36:00,10:25:11,-10.8166666667,NA, NA, NA,0
1/22/2015,12:06:00,11:55:12,-10.8,NA, NA, NA,0
2/11/2015,16:30:00,16:19:12,-10.8,NA, NA, NA,0
2/12/2015,10:38:00,10:27:12,-10.8,NA, NA, NA,0
3/25/2015,7:42:00,7:31:12,-10.8,NA, NA, NA,0.47
3/31/2015,11:39:00,11:28:12,-10.8,NA, NA, NA,0
4/7/2015,17:04:00,16:53:12,-10.8,NA, NA, NA,0.56
4/22/2015,14:26:00,14:15:12,-10.8,NA, NA, NA,0
4/30/2015,17:13:00,17:02:12,-10.8,NA, NA, NA,0
1/21/2015,11:39:00,11:28:13,-10.7833333333,NA, NA, NA,0
2/12/2015,16:55:00,16:44:13,-10.7833333333,NA, NA, NA,0
2/18/2015,18:10:00,17:59:13,-10.7833333333,NA, NA, NA,0.11
3/4/2015,16:39:00,16:28:13,-10.7833333333,NA, NA, NA,0.37
3/24/2015,16:46:00,16:35:13,-10.7833333333,NA, NA, NA,0.12
3/24/2015,8:07:00,7:56:13,-10.7833333333,NA, NA, NA,0.12
3/25/2015,13:59:00,13:48:13,-10.7833333333,NA, NA, NA,0.47
4/6/2015,9:19:00,9:08:13,-10.7833333333,NA, NA, NA,0
4/22/2015,7:42:00,7:31:13,-10.7833333333,NA, NA, NA,0
4/22/2015,8:07:00,7:56:13,-10.7833333333,NA, NA, NA,0
4/30/2015,7:42:00,7:31:13,-10.7833333333,NA, NA, NA,0
5/4/2015,18:47:00,18:36:13,-10.7833333333,NA, NA, NA,0
2/4/2015,18:10:00,17:59:14,-10.7666666667,NA, NA, NA,0.07
2/25/2015,11:59:00,11:48:14,-10.7666666667,NA, NA, NA,0
3/10/2015,16:55:00,16:44:14,-10.7666666667,NA, NA, NA,0.51
3/31/2015,8:32:00,8:21:14,-10.7666666667,NA, NA, NA,0
3/31/2015,16:48:00,16:37:14,-10.7666666667,NA, NA, NA,0
4/8/2015,14:53:00,14:42:14,-10.7666666667,NA, NA, NA,0.05
4/13/2015,18:47:00,18:36:14,-10.7666666667,NA, NA, NA,0
4/20/2015,11:39:00,11:28:14,-10.7666666667,NA, NA, NA,0.13
2/4/2015,18:22:00,18:11:15,-10.75,NA, NA, NA,0.07
2/5/2015,11:57:00,11:46:15,-10.75,NA, NA, NA,0
2/11/2015,11:39:00,11:28:15,-10.75,NA, NA, NA,0
3/5/2015,17:13:00,17:02:15,-10.75,NA, NA, NA,0
3/26/2015,18:22:00,18:11:15,-10.75,NA, NA, NA,0.7
4/1/2015,8:07:00,7:56:15,-10.75,NA, NA, NA,0
